player,minute,second,x,y,type,outcome,endX,endY
messi,45,0,50,50,Pass,Successful,40,43
messi,45,25,63,48,Pass,Successful,75,83
messi,46,4,74,58,Pass,Successful,71,65
messi,46,7,76,68,Pass,Successful,95,78
messi,46,55,100,1,Pass,Unsuccessful,96,38
messi,47,42,73,25,Pass,Successful,70,54
messi,49,47,75,43,Pass,Unsuccessful,82,38
messi,50,10,79,31,Pass,Successful,87,24
messi,50,17,82,52,Pass,Successful,93,68
messi,50,24,98,62,Pass,Unsuccessful,98,61
messi,55,22,30,12,Pass,Successful,22,24
messi,56,24,38,42,Pass,Successful,37,51
messi,56,36,53,44,Pass,Successful,43,62
messi,56,43,61,63,Pass,Successful,64,63
messi,57,2,96,33,Pass,Successful,91,34
messi,62,25,46,45,Pass,Successful,38,43
messi,62,31,49,67,Pass,Successful,61,96
messi,63,36,64,22,Pass,Successful,63,10
messi,63,40,74,7,Pass,Successful,66,9
messi,63,42,70,6,Pass,Successful,63,9
messi,63,43,67,4,Pass,Successful,62,9
messi,63,48,69,4,Pass,Successful,62,9
messi,66,27,65,36,Pass,Successful,71,51
messi,67,40,73,58,Pass,Unsuccessful,87,41
messi,68,19,66,67,Pass,Successful,60,69
messi,69,25,71,79,Pass,Successful,63,72
messi,71,29,64,30,Pass,Successful,69,60
messi,71,46,81,57,Pass,Successful,96,71
messi,73,44,50,50,Pass,Successful,47,52
